Week,Day,Time,Event_ID,Event_Name,Room,Campus,Orig_Campus,From_Holyrood,Size,Room_Capacity,Util_%
9,Friday,09:30,E:CQY5B778ND,Economic Aspects of Competition Policy - Lecture,0001_00_G.159,Central,Central,False,50,108,46.3
9,Friday,09:30,E:GT9JY1GUEB,Researching Global Challenges 1 - Lecture,0113_00_G.07,Central,Central,False,70,170,41.2
9,Friday,09:30,E:2X6ZIPFKTW,"Mathematics, Statistics and Econometrics - Lecture",0005_-1_B.01,Central,Central,False,80,164,48.8
9,Friday,09:30,E:9OWPZQ6LK2-00003,Psychological Skills Placement - Lecture,0103_03_3.D02,Central,Central,False,35,40,87.5
9,Friday,09:30,E:UF14KJIVZT-00004,Interpersonal Psychotherapy (IPT) - Level A - Lecture,0112_00_G.01,Central,Central,False,40,55,72.7
9,Friday,10:00,E:UK5P9FS9C8,IFP - FEAP Entry A,0001_01_1.264,Central,Holyrood,True,16,150,10.7
9,Friday,10:00,E:BLK9PWD426,Introduction to Corporate Finance - Lecture,0113_01_1.425,Central,Central,False,180,260,69.2
9,Friday,10:00,E:CQY5B778ND,Economic Aspects of Competition Policy - Lecture,0001_00_G.159,Central,Central,False,50,108,46.3
9,Friday,10:00,E:2X6ZIPFKTW,"Mathematics, Statistics and Econometrics - Lecture",0005_-1_B.01,Central,Central,False,80,164,48.8
9,Friday,10:00,E:9OWPZQ6LK2-00003,Psychological Skills Placement - Lecture,0103_03_3.D02,Central,Central,False,35,40,87.5
9,Friday,10:00,E:UF14KJIVZT-00004,Interpersonal Psychotherapy (IPT) - Level A - Lecture,0112_00_G.01,Central,Central,False,40,55,72.7
9,Friday,10:30,E:UK5P9FS9C8,IFP - FEAP Entry A,0001_01_1.264,Central,Holyrood,True,16,150,10.7
9,Friday,10:30,E:BLK9PWD426,Introduction to Corporate Finance - Lecture,0113_01_1.425,Central,Central,False,180,260,69.2
9,Friday,10:30,E:CQY5B778ND,Economic Aspects of Competition Policy - Lecture,0001_00_G.159,Central,Central,False,50,108,46.3
9,Friday,10:30,E:2X6ZIPFKTW,"Mathematics, Statistics and Econometrics - Lecture",0005_-1_B.01,Central,Central,False,80,164,48.8
9,Friday,10:30,E:JA44KSWLPQ,Creating Edinburgh: The Interdisciplinary City Introductory Lecture - Option 1,0113_00_G.07,Central,Central,False,50,170,29.4
9,Friday,10:30,E:9OWPZQ6LK2-00003,Psychological Skills Placement - Lecture,0103_03_3.D02,Central,Central,False,35,40,87.5
9,Friday,10:30,E:UF14KJIVZT-00004,Interpersonal Psychotherapy (IPT) - Level A - Lecture,0112_00_G.01,Central,Central,False,40,55,72.7
9,Friday,11:00,E:2X6ZIPFKTW,"Mathematics, Statistics and Econometrics - Lecture",0005_-1_B.01,Central,Central,False,80,164,48.8
