Event ID,Event Name,Event Size,Campus,Number of Weeks,Weeks,Week List,Room,Building,Timeslot,Duration (minutes),Assigned_RoomID,Assigned_Room_Number,Assigned_Campus,Assigned_Building,Assigned_Capacity,Assigned_Room_Type,Campus_Changed,Capacity_Utilization,Overcapacity
E:D6W2T4U1JH,General Neuroscience - Journal Club/07,10.0,Central,3,"14, 15, 18","[14, 15, 18]",0113_00_G.203,"Medical School, Teviot",Wednesday 11:00,110,0401_02_2.28,2.28,New College,New College,108,Lecture Theatre,True,9.26,False
E:AQC94ELGAL,General Neuroscience - Journal Club/04,10.0,Central,3,"14, 15, 18","[14, 15, 18]",0113_01_1.42,"Medical School, Teviot",Wednesday 11:00,110,0001_01_1.264,1.264,Central,Old College,150,Lecture Theatre,False,6.67,False
E:KMB2EH9872-00001,AMPL - Contracts Workshop - Groups/04,12.0,Central,2,"15, 16","[15, 16]",0008_-1_B.152,Minto House,Monday 11:00,110,0103_01_1.B10,1.B10,Central,Forresthill,20,Classroom Style,False,60.0,False
E:TFGJ6XWZP4-00001,AMPL - Contracts Workshop - Groups/03,12.0,Central,2,"15, 16","[15, 16]",0008_-1_B.153,Minto House,Monday 11:00,110,0591_-1_B1.11,B1.11,Holyrood,Outreach Centre,150,Classroom Style,True,8.0,False
E:OZ21LC94UM-00001,AMPL - Contracts Workshop - Groups/01,9.0,Central,2,"15, 16","[15, 16]",0008_-1_B.153,Minto House,Monday 09:00,110,0214_01_1.10,1.10,Central,16-20 George Square,18,Classroom Style,False,50.0,False
E:UK5P9FS9C8,IFP - FEAP Entry A,16.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_-1_LG46,Patersons Land,Friday 09:00,100,0251_01_1.01,1.01,Central,21 Buccleuch Place,28,Classroom Style,True,57.14,False
E:8SKUV14MSI-00001,AMPL - Contracts Workshop - Groups/02,9.0,Central,2,"15, 16","[15, 16]",0008_-1_B.152,Minto House,Monday 09:00,110,0201_01_1.06,1.06,Central,Appleton Tower,300,Lecture Theatre,False,3.0,False
E:WW1HVII26G,ELE - Writing your PhD First Year Report Group 1,14.0,Holyrood,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0551_00_G36B,Patersons Land,Friday 10:00,120,0254_01_1.07,1.07,Central,24 Buccleuch Place,12,Boardroom Style,True,116.67,True
E:VRZEX59PHC,ELE - Writing your PhD First Year Report Group 2,14.0,Holyrood,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0551_-1M_M16,Patersons Land,Friday 10:00,120,0228_08_8.13,8.13,Central,40 George Square,15,Boardroom Style,True,93.33,False
E:4R3DUUHVTN-00001,PECP 1 - Seminar/C,22.0,Holyrood,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0564_03_3.23,St Leonards Land,Monday 11:00,50,0113_01M_01M.20,01M.20,Central,"Medical School, Teviot",12,Boardroom Style,True,183.33,True
E:WTYFX4VE2L,IFP - Introducing Philosophy C,20.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0558_05_5.3,Charteris Land,Tuesday 13:00,80,0423_R_R.02B,R.02B,Lauriston,Hunter Building,27,Boardroom Style,True,74.07,False
E:IAUX3J222V-00001,PECP 1 - Seminar/B,23.0,Holyrood,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0564_03_3.16,St Leonards Land,Monday 10:00,50,0227_02_2.39,2.39,Central,50 George Square,18,Boardroom Style,True,127.78,True
E:8A6KB6E5TK,IFP - FEAP Plus C,16.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_-1M_M1,Patersons Land,Friday 09:00,100,0201_02_2.07,2.07,Central,Appleton Tower,20,Classroom Style,True,80.0,False
